Brand Name,Brand,Garment Type,Price Point,Made in USA,Vibe,Notes,URL Raw,URL
Brooks Brothers,Brooks Brothers,Dress Shirts,$$,Few,Formal,Ties/Shirts/Suits,"https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html","https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html"
Brooks Brothers,Brooks Brothers,Jeans/Denim,$$$,Few,Luxury/Designer,,"https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html","https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html"
Brooks Brothers,Brooks Brothers,Suits,$$$$$,Few,Formal,,"https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html","https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html"
Brooks Brothers,Brooks Brothers,Blazers/Sport Coats,$$$$,Few,Formal,,"https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html","https://www.brooksbrothers.com/Original-Polo%C2%AE-Button-Down-Oxford-Traditional-Extra-Relaxed-Fit-Dress-Shirt%2C-Bengal-Stripe/ME02754,default,pd.html"
Collared Greens,Collared Greens,T-Shirts,$,All,Casual,Ties,https://www.collaredgreens.com/,https://www.collaredgreens.com/
Collared Greens,Collared Greens,Hats,$,All,Casual,,https://www.collaredgreens.com/,https://www.collaredgreens.com/
Collared Greens,Collared Greens,Sport Shirts,$$,All,Casual,,https://www.collaredgreens.com/,https://www.collaredgreens.com/
Collared Greens,Collared Greens,Khakis/Golf Pants,$,All,Casual,,https://www.collaredgreens.com/,https://www.collaredgreens.com/
Collared Greens,Collared Greens,Neckties,$,All,Casual,,https://www.collaredgreens.com/,https://www.collaredgreens.com/
Collared Greens,Collared Greens,Belts,$,All,Casual,,https://www.collaredgreens.com/,https://www.collaredgreens.com/
Gitman Brothers,Gitman Brothers,Sport Shirts,$$$,All,Formal,,https://www.gitman.com/,https://www.gitman.com/
Gitman Brothers,Gitman Brothers,Dress Shirts,$$$,All,Formal,,https://www.gitman.com/,https://www.gitman.com/
Gitman Brothers,Gitman Brothers,Neckties,$$,All,Formal,,https://www.gitman.com/,https://www.gitman.com/
